English,System BG,Reference BG,en_idx,bg_idx,segment
(g) Workers other than workers listed in (a)–(f) in this paragraph;,"ж) работници, различни от работници, изброени в буква а)—е) в настоящия параграф;","(ж) персонал, различен от изброените в букви а)-е) на настоящата точка;",983,1033,dp
(h) Ethics committees.,з) Комисии по етика.,(з) комитети по етика.,984,1034,dp
NR,NR,NR,985,1035,dp
"This is an explanatory statement, not a requirement.","Това е обяснително изявление, а не изискване.","Това е пояснение, а не изискване.",986,1036,dp
2.42.,2.42.,2.42.,987,1037,dp
The relevant principal parties shall establish and implement a protection and safety programme that is appropriate for the exposure situation. The protection and safety programme:,"Съответните основни страни създават и изпълняват програма за защита и безопасност, която е подходяща за ситуацията с експозицията.","Съответните главни страни създават и осъществяват програма за защита и безопасност, която съответства на ситуацията на облъчване. В програмата за защита и безопасност:",988,1038,dp
(a) Shall adopt objectives for protection and safety in accordance with the requirements of these Standards;,а) приема цели за защита и безопасност в съответствие с изискванията на настоящите стандарти;,(а) се приемат цели за защита и безопасност в съответствие с изискванията на настоящите стандарти;,989,1039,dp
(b) Shall apply measures for protection and safety that are commensurate with the radiation risks associated with the exposure situation and that are adequate to ensure compliance with the requirements of these Standards.,"б) прилагат мерки за защита и безопасност, които са съизмерими с радиационните рискове, свързани със ситуацията на експозиция, и които са достатъчни, за да гарантират спазването на изискванията на тези стандарти.","(б) се прилагат мерки за защита и безопасност, които са съизмерими с радиационните рискове, свързани със ситуацията на облъчване, и които са адекватни за осигуряване спазването на изискванията на настоящите стандарти.",990,1040,dp
"OR, EP","ПЕ, ЕП","OR, EP",991,1041,dp
This is the responsibility of the Owner/Licensee and/or other external parties.,Това е отговорност на собственика/лицензията и/или други външни лица.,Това е отговорност на Собственика/Лицензианта и/или други външни страни.,992,1042,dp
2.43.,2.43.,2.43.,993,1043,dp
"The relevant principal parties shall ensure that, in the implementation of the protection and safety programme:","Съответните основни страни гарантират, че при изпълнението на програмата за защита и безопасност:","Съответните главни страни гарантират, че при осъществяването на програмата за защита и безопасност:",994,1044,dp
(a) The measures and resources that are necessary for achieving the objectives for protection and safety have been determined and are duly provided;,"а) мерките и ресурсите, необходими за постигане на целите за защита и безопасност, са определени и надлежно предоставени;","(а) мерките и ресурсите, които са необходими за постигане на целите за защита и безопасност, са определени и са надлежно осигурени;",995,1045,dp
(b) The programme is periodically reviewed to assess its effectiveness and its continued fitness for purpose;,"б) Програмата периодично се преразглежда, за да се оцени нейната ефективност и нейната постоянна годност за целта;","б) програмата се преразглежда периодично, за да се оцени нейната ефективност и постоянната ѝ пригодност за поставената цел;",996,1046,dp
"(c) Any failures or shortcomings in protection and safety are identified and corrected, and steps are taken to prevent their recurrence;",в) Всички пропуски или недостатъци в защитата и безопасността са установени и коригирани и се предприемат стъпки за предотвратяване на повторната им поява;,в) установяват се и се коригират всякакви пропуски или недостатъци в защитата и безопасността и се предприемат мерки за предотвратяване на повторното им възникване;,997,1047,dp
(d) Arrangements are made to consult with interested parties;,г) сключват се договорености за консултации със заинтересованите страни;,г) създават се условия за провеждане на консултации със заинтересованите страни;,998,1048,dp
(e) Appropriate records are maintained.,д) Поддържат се подходящи записи.,д) води се подходяща документация.,999,1049,dp
"OR, EP","ПЕ, ЕП","OR, EP",1000,1050,dp
This is the responsibility of the Owner/Licensee and/or other external parties.,Това е отговорност на собственика/лицензията и/или други външни лица.,Това е отговорност на Собственика/Лицензианта и/или други външни страни.,1001,1051,dp
2.44.,2.44.,2.44.,1002,1052,dp
"The relevant principal parties and other parties having specified responsibilities in relation to protection and safety shall ensure that all personnel engaged in activities relevant to protection and safety have appropriate education, training and qualification so that they understand their responsibilities and can perform their duties competently, with appropriate judgement and in accordance with procedures.","Съответните основни страни и други страни, които имат определени отговорности по отношение на защитата и безопасността, гарантират, че целият персонал, който извършва дейности, свързани със защитата и безопасността, има подходящо образование, обучение и квалификация, така че да разбират своите отговорности и да могат да изпълняват задълженията си компетентно, с подходяща преценка и в съответствие с процедурите.","Съответните главни страни и други страни, които имат определени отговорности във връзка със защитата и безопасността, гарантират, че целият персонал, ангажиран с дейности, свързани със защитата и безопасността, има подходящо образование, обучение и квалификация, така че да разбира своите отговорности и да може да изпълнява задълженията си компетентно, с подходяща преценка и в съответствие с процедурите.",1003,1053,dp
"OR, EP","ПЕ, ЕП","OR, EP",1004,1054,dp
This is the responsibility of the Owner/Licensee and/or other external parties.,Това е отговорност на собственика/лицензията и/или други външни лица.,Това е отговорност на Собственика/Лицензианта и/или други външни страни.,1005,1055,dp
Westinghouse has conducted the AP1000 design development under its recognized QMS and has taken prime responsibility for safety during the design development. Well recognized QMS is a method for effective fulfillment of requirements for protection and safety in the managements system on a technology design level. The relevant qualification and training for design personnel are in place.,Westinghouse е провела проектирането AP1000 под призната QMS и е поела основна отговорност за безопасността по време на разработването на дизайна. Добре признатата QMS е метод за ефективно изпълнение на изискванията за защита и безопасност в системата за управление на ниво дизайн на технологиите.,Компанията Уестингхаус е провела разработването на проекта на AP1000 в рамките на своята призната система за управление на качеството (СУК) и е поела основната отговорност за безопасността по време на разработването на проекта. Добре познатата СУК е метод за ефективно изпълнение на изискванията за защита и безопасност в системата за управление на ниво технологично проектиране. Налице са съответната квалификация и обучение на персонала по проектирането.,1006,1056,dp
2.45.,2.45.,2.45.,1007,1057,dp
"The relevant principal parties shall permit access by authorized representatives of the regulatory body to carry out inspections of their facilities and activities and of their protection and safety records, and shall cooperate in the conduct of inspections.","Съответните основни страни разрешават достъп на упълномощените представители на регулаторния орган да извършват проверки на своите съоръжения и дейности, както и на техните досиета за защита и безопасност, и си сътрудничат при провеждането на инспекциите.","Съответните главни страни разрешават достъп на упълномощени представители на регулаторния орган за извършване на инспекции на техните съоръжения и дейности и на техните регистрационни записи за защита и безопасност, а също така сътрудничат при провеждането на инспекциите.",1008,1058,dp
"OR, EP","ПЕ, ЕП","OR, EP",1009,1059,dp
This is the responsibility of the Owner/Licensee and/or other external parties.,Това е отговорност на собственика/лицензията и/или други външни лица.,Това е отговорност на Собственика/Лицензианта и/или други външни страни.,1010,1060,dp
2.46.,2.46.,2.46.,1011,1061,dp
The relevant principal parties shall ensure that qualified experts are identified and are consulted as necessary on the proper observance of these Standards.,"Съответните основни страни гарантират, че квалифицираните експерти са идентифицирани и се провеждат консултации при необходимост за правилното спазване на тези стандарти.","Съответните главни страни гарантират, че са определени квалифицирани експерти, с които при необходимост се провеждат консултации относно правилното спазване на настоящите стандарти.",1012,1062,dp
"OR, EP","ПЕ, ЕП","OR, EP",1013,1063,dp
This is the responsibility of the Owner/Licensee and/or other external parties.,Това е отговорност на собственика/лицензията и/или други външни лица.,Това е отговорност на Собственика/Лицензианта и/или други външни страни.,1014,1064,dp
MANAGEMENT REQUIREMENTS,ИЗИСКВАНИЯ ЗА УПРАВЛЕНИЕ,Изисквания към управлението,1015,1065,dp
Requirement 5: Management for protection and safety,Изискване 5: Управление за защита и безопасност,Изискване 5: Управление за защита и безопасност,1016,1066,dp
Description,Описание,Описание,1017,1067,dp
Compliance,Съответствие,Съответствие,1018,1068,dp
Justification,Обосновка,Обосновка,1019,1069,dp
The principal parties shall ensure that protection and safety are effectively integrated into the overall management system of the organizations for which they are responsible.,"Основните страни гарантират, че защитата и безопасността са ефективно интегрирани в цялостната система за управление на организациите, за които отговарят.","Главните страни осигуряват ефективно интегриране на защитата и безопасността в общата система за управление на организациите, за които те отговарят.",1020,1070,dp
"OR, EP","ПЕ, ЕП","OR, EP",1021,1071,dp
This is the responsibility of the Owner/Licensee and/or other external parties.,Това е отговорност на собственика/лицензията и/или други външни лица.,Това е отговорност на Собственика/Лицензианта и/или други външни страни.,1022,1072,dp
Protection and safety elements of the management system,Елементи на защита и безопасност на системата за управление,"Елементи на системата за управление, свързани със защитата и безопасността",1023,1073,dp
2.47.,2.47.,2.47.,1024,1074,dp
The principal parties shall demonstrate commitment to protection and safety at the highest levels within the organizations for which they are responsible.,"Основните страни демонстрират ангажираност към защитата и безопасността на най-високо равнище в рамките на организациите, за които отговарят.","Главните страни демонстрират ангажираност към защитата и безопасността на най-високите нива в организациите, за които отговарят.",1025,1075,dp
"OR, EP","ПЕ, ЕП","OR, EP",1026,1076,dp
This is the responsibility of the Owner/Licensee and/or other external parties.,Това е отговорност на собственика/лицензията и/или други външни лица.,Това е отговорност на Собственика/Лицензианта и/или други външни страни.,1027,1077,dp
2.48.,2.48.,2.48.,1028,1078,dp
The principal parties shall ensure that the management system15 is designed and applied to enhance protection and safety by:,"Основните страни гарантират, че системата за управление 15 е проектирана и прилагана за подобряване на защитата и безопасността чрез:","Главните страни гарантират, че системата за управление15 е проектирана и се прилага с цел повишаване на защитата и безопасността чрез:",1029,1079,dp
"(a) Applying the requirements for protection and safety coherently with other requirements, including requirements for operational performance, and coherently with guidelines for security;","а) прилагане на изискванията за защита и безопасност съгласувано с други изисквания, включително изисквания за експлоатационни показатели, и съгласувано с насоките за сигурност;","(а) прилагане на изискванията за защита и безопасност съгласувано с други изисквания, включително изискванията за експлоатационни характеристики, и съгласувано с ръководните принципи за сигурност;",1030,1080,dp
(b) Describing the planned and systematic actions necessary to provide adequate confidence that the requirements for protection and safety are fulfilled;,"б) определяне на планираните и системни действия, необходими за осигуряване на достатъчна увереност, че са изпълнени изискванията за защита и безопасност;","б) описване на планираните и систематични действия, необходими за осигуряване на достатъчна увереност, че изискванията за защита и безопасност се изпълняват;",1031,1081,dp
(c) Ensuring that protection and safety are not compromised by other requirements;,"в) да се гарантира, че защитата и безопасността не са компрометирани от други изисквания;","в) гарантиране, че защитата и безопасността не са компрометирани от други изисквания;",1032,1082,dp
"(d) Providing for the regular assessment of performance for protection and safety, and the application of lessons learned from experience;","г) осигуряване на редовна оценка на ефективността за защита и безопасност, както и прилагане на поуки, извлечени от опита;","г) осигуряване на редовна оценка на изпълнението на изискванията за защита и безопасност и прилагане на поуките, извлечени от опита;",1033,1083,dp
(e) Promoting safety culture.,д) Насърчаване на културата на безопасност.,д) насърчаване на културата на безопасност.,1034,1084,dp
"OR, EP","ПЕ, ЕП","OR, EP",1035,1085,dp
This is the responsibility of the Owner/Licensee and/or other external parties.,Това е отговорност на собственика/лицензията и/или други външни лица.,Това е отговорност на Собственика/Лицензианта и/или други външни страни.,1036,1086,dp
2.49.,2.49.,2.49.,1037,1087,dp
The principal parties shall ensure that protection and safety elements of the management system are commensurate with the complexity of and the radiation risks associated with the activity.,"Основните страни гарантират, че елементите за защита и безопасност на системата за управление са съизмерими със сложността на дейността и радиационните рискове, свързани с нея.","Главните страни гарантират, че елементите на системата за управление, свързани със защитата и безопасността, са съизмерими със сложността на дейността и свързаните с нея радиационни рискове.",1038,1088,dp
"OR, EP","ПЕ, ЕП","OR, EP",1039,1089,dp
This is the responsibility of the Owner/Licensee and/or other external parties.,Това е отговорност на собственика/лицензията и/или други външни лица.,Това е отговорност на Собственика/Лицензианта и/или други външни страни.,1040,1090,dp
2.50.,2.50.,2.50.,1041,1091,dp
The principal parties shall be able to demonstrate the effective fulfilment of the requirements for protection and safety in the management system.,Основните страни са в състояние да докажат ефективното изпълнение на изискванията за защита и безопасност в системата за управление.,Главните страни трябва да могат да демонстрират ефективното изпълнение на изискванията за защита и безопасност в системата за управление.,1042,1092,dp
"OR, EP","ПЕ, ЕП","OR, EP",1043,1093,dp
This is the responsibility of the Owner/Licensee and/or other external parties.,Това е отговорност на собственика/лицензията и/или други външни лица.,Това е отговорност на Собственика/Лицензианта и/или други външни страни.,1044,1094,dp
Safety culture,Култура на безопасност,Култура на безопасност,1045,1095,dp
2.51.,2.51.,2.51.,1046,1096,dp
The principal parties shall promote and maintain safety culture by:,Основните страни насърчават и поддържат култура на безопасност чрез:,Главните страни насърчават и поддържат културата на безопасност чрез:,1047,1097,dp
(a) Promoting individual and collective commitment to protection and safety at all levels of the organization;,а) насърчаване на индивидуалния и колективния ангажимент за защита и безопасност на всички нива на организацията;,(а) насърчаване на индивидуалната и колективната ангажираност към защитата и безопасността на всички нива в организацията;,1048,1098,dp
(b) Ensuring a common understanding of the key aspects of safety culture within the organization;,б) осигуряване на общо разбиране на ключовите аспекти на културата на безопасност в рамките на организацията;,б) осигуряване на общо разбиране на ключовите аспекти на културата на безопасност в организацията;,1049,1099,dp
"(c) Providing the means by which the organization supports individuals and teams in carrying out their tasks safely and successfully, with account taken of the interactions between individuals, technology and the organization;","(в) Осигуряване на средствата, чрез които организацията подкрепя физическите лица и екипите при безопасно и успешно изпълнение на техните задачи, като се вземат предвид взаимодействията между отделните лица, технологиите и организацията;","в) осигуряване на средства, чрез които организацията да подкрепя отделните лица и екипи при безопасното и успешно изпълнение на техните задачи, като се отчита взаимодействието между отделните лица, технологиите и организацията;",1050,1100,dp
"(d) Encouraging the participation of workers and their representatives and other relevant persons in the development and implementation of policies, rules and procedures dealing with protection and safety;","г) насърчаване на участието на работниците и техните представители и други съответни лица в разработването и прилагането на политики, правила и процедури, свързани със защитата и безопасността;","г) насърчаване участието на работниците и техните представители, както и на други заинтересовани лица в разработването и прилагането на политики, правила и процедури, свързани със защитата и безопасността;",1051,1101,dp
(e) Ensuring accountability of the organization and of individuals at all levels for protection and safety;,д) осигуряване на отчетност на организацията и на физическите лица на всички нива за защита и безопасност;,(д) осигуряване на отчетност на организацията и отделните лица на всички равнища по отношение на защитата и безопасността;,1052,1102,dp
"(f) Encouraging open communication with regard to protection and safety within the organization and with relevant parties, as appropriate;","е) насърчаване на отворената комуникация по отношение на защитата и безопасността в рамките на организацията и със съответните страни, според случая;","е) насърчаване на открита комуникация по отношение на защитата и безопасността в рамките на организацията и със съответните страни, когато е целесъобразно;",1053,1103,dp
"(g) Encouraging a questioning and learning attitude, and discouraging complacency, with regard to protection and safety;",ж) насърчаване на нагласата на разпитите и ученето и обезсърчаване на самодоволството по отношение на защитата и безопасността;,"ж) насърчаване на нагласата за задаване на въпроси и учене, както и възпиране на самодоволството по отношение на защитата и безопасността;",1054,1104,dp
(h) Providing means by which the organization continually seeks to develop and strengthen its safety culture.,"(з) Осигуряване на средства, чрез които организацията непрекъснато се стреми да развива и укрепва своята култура на безопасност.","з) осигуряване на средства, чрез които организацията непрекъснато да се стреми да развива и укрепва своята култура на безопасност.",1055,1105,dp
"OR, EP","ПЕ, ЕП","OR, EP",1056,1106,dp
This is the responsibility of the Owner/Licensee and/or other external parties.,Това е отговорност на собственика/лицензията и/или други външни лица.,Това е отговорност на Собственика/Лицензианта и/или други външни страни.,1057,1107,dp
"Westinghouse is promoting safety culture throughout the working environment. In the case of AP1000 as an example by preparing documents like the DCD which is directly related to improving safety. All the Westinghouse company structure is based on slogan “Safety first”. Westinghouse fosters a safety culture not only through policies and procedures, but also through communication of industry best practice such as Institute of Nuclear Power Operations (INPO) principles for a strong nuclear safety culture.","В случая на AP1000 като пример чрез подготовка на документи като DCD, които са пряко свързани с подобряване на безопасността. Цялата структура на компанията Westinghouse се основава на лозунг „Безопасност на първо място”. Уестингхаус насърчава култура на безопасност не само чрез политики и процедури, но и чрез комуникация на най-добрите практики в индустрията, като например принципите на Института за ядрени енергийни операции (INPO) за силна култура на ядрена безопасност.","Компанията Уестингхаус насърчава културата на безопасност в цялата работна среда. В случая с AP1000, като пример, чрез изготвяне на документи като ДКП, който е пряко свързан с подобряването на безопасността. Цялата структура на компанията Уестингхаус се основава на лозунга “Безопасност преди всичко”. Уестингхаус насърчава културата на безопасност не само чрез политики и процедури, но и чрез разпространение на най-добрите практики в отрасъла, като например принципите на Института по ядрена енергетика (INPO) за силна култура на ядрена безопасност.",1058,1108,dp
Human factors,Човешки фактори,Човешки фактори,1059,1109,dp
2.52.,2.52.,2.52.,1060,1110,dp
"The principal parties and other parties having specified responsibilities in relation to protection and safety, as appropriate, shall take into account human factors and shall support good performance and good practices to prevent human and organizational failures, by ensuring among other things that:","Основните страни и другите страни, които са определили отговорностите си по отношение на защитата и безопасността, в зависимост от случая, вземат предвид човешките фактори и подкрепят добрите резултати и добрите практики за предотвратяване на човешки и организационни неуспехи, като гарантират, наред с други неща, че:","Главните страни и други страни, които имат определени отговорности във връзка със защитата и безопасността, според случая, вземат предвид човешките фактори и подкрепят доброто изпълнение и добрите практики за предотвратяване на човешки и организационни грешки, като гарантират, наред с другото:",1061,1111,dp
"(a) Sound ergonomic principles are followed in the design of equipment and the development of operating procedures, so as to facilitate the safe operation and use of equipment, to minimize the possibility that operator errors could lead to accidents, and to reduce the possibility that indications of normal conditions and abnormal conditions could be misinterpreted.","(а) При проектирането на оборудването и разработването на оперативни процедури се спазват звукови ергономични принципи, за да се улесни безопасната експлоатация и използване на оборудването, да се сведе до минимум възможността грешките на оператора да доведат до аварии, както и да се намали възможността признаците за нормални условия и необичайни условия да се тълкуват погрешно.","(а) използването на разумни ергономични принципи при проектирането на оборудването и разработването на работните процедури, така че да се улеснят безопасната експлоатация и използването на оборудването, да се сведе до минимум възможността операторски грешки да доведат до аварии и да се намали възможността признаци за нормални и нарушени условия да бъдат изтълкувани погрешно;",1062,1112,dp
"(b) Appropriate equipment, safety systems and procedural requirements are provided, and other necessary provision is made:","б) Осигурено е подходящо оборудване, системи за безопасност и процедурни изисквания, като е направена и друга необходима разпоредба:","(б) осигуряването на подходящо оборудване, системи за безопасност и процедурни изисквания, както и други необходими мерки за:",1063,1113,dp
"To reduce, as far as practicable, the possibility that human errors or inadvertent actions could give rise to accidents or to other incidents leading to the exposure of any person;","да се намали, доколкото е възможно, възможността човешките грешки или непреднамерените действия да доведат до злополуки или други инциденти, водещи до излагане на въздействието на което и да е лице;","намаляване, доколкото е възможно, на възможността човешки грешки или непреднамерени действия да доведат до аварии или други инциденти, водещи до облъчване на което и да е лице;",1064,1114,dp
To provide means for detecting human errors and for correcting them or compensating for them;,да осигури средства за откриване на човешки грешки и за коригирането им или за компенсирането им;,осигуряване на средства за откриване на човешки грешки и за тяхното коригиране или компенсиране;,1065,1115,dp
To facilitate protective actions and corrective actions in the event of failures of safety systems or failures of measures for protection and safety.,За да се улеснят защитните действия и корективните действия в случай на неизправности на системите за безопасност или неуспех на мерките за защита и безопасност.,улесняване на защитните действия и коригиращите действия в случай на откази на системи за безопасност или неизпълнение на мерки за защита и безопасност.,1066,1116,dp
OR,ИЛИ,OR,1067,1117,dp
This is the responsibility of the Owner/Licensee and/or other external parties.,Това е отговорност на собственика/лицензията и/или други външни лица.,Това е отговорност на Собственика/Лицензианта и/или други външни страни.,1068,1118,dp
Chapter 18 of the DCD prepared for the AP1000 plant has taken into consideration Human Factors Engineering at design process for which Westinghouse is responsible.,"Глава 18 от DCD, подготвена за завода AP1000, е взела под внимание човешките фактори Инженеринг в процеса на проектиране, за който Westinghouse е отговорен.","В Глава 18 на ДКП, изготвена за централата AP1000, са отчетени аспектите на човешките фактори в процеса на проектиране, за които компанията Уестингхаус носи отговорност.",1069,1119,dp
Planned exposure situations,Ситуации на планирана експозиция,Ситуации на планирано облъчване,1070,1120,dp
Scope,Обхват,Обхват,1071,1121,dp
Description,Описание,Описание,1072,1122,dp
Compliance,Съответствие,Съответствие,1073,1123,dp
Justification,Обосновка,Обосновка,1074,1124,dp
3.1.,3.1.,3.1.,1075,1125,dp
The requirements for planned exposure situations apply to the following practices:,Изискванията за планирани ситуации на експозиция се прилагат за следните практики:,Изискванията за ситуации на планирано облъчване се прилагат за следните видове практическа дейност:,1076,1126,dp
"(a) The production, supply, provision and transport of radioactive material and of devices that contain radioactive material, including sealed sources and unsealed sources, and of consumer products;","а) производството, доставката, доставката и транспортирането на радиоактивни материали и на изделия, които съдържат радиоактивен материал, включително запечатани източници и незапечатани източници, както и на потребителски продукти;","(а) производство, доставка, осигуряване и транспортиране на радиоактивни материали и устройства, които съдържат радиоактивни материали, включително закрити и открити източници, както и потребителски продукти;",1077,1127,dp
"(b) The production and supply of devices that generate radiation, including linear accelerators, cyclotrons, and fixed and mobile radiography equipment;","б) производство и доставка на устройства, които генерират радиация, включително линейни ускорители, циклотронни и стационарни и мобилни радиография оборудване;","(б) производство и доставка на устройства, които генерират йонизиращи лъчения, включително линейни ускорители, циклотрони, както и стационарно и мобилно радиографско оборудване;",1078,1128,dp
"(c) The generation of nuclear power, including any activities within the nuclear fuel cycle that involve or that could involve exposure to radiation or exposure due to radioactive material;","в) генерирането на ядрена енергия, включително всякакви дейности в рамките на цикъла на ядрено гориво, които включват или които биха могли да включват излагане на радиация или излагане поради радиоактивни материали;","(в) производство на ядрена енергия, включително всички дейности в рамките на ядрения горивен цикъл, които включват или биха могли да включват излагане на радиация или облъчване, дължащо се на радиоактивен материал;",1079,1129,dp
"(d) The use of radiation or radioactive material for medical, industrial, veterinary, agricultural, legal or security purposes, including the use of associated equipment, software or devices where such use could affect exposure to radiation;","г) използването на радиационен или радиоактивен материал за медицински, промишлени, ветеринарни, селскостопански, правни или охранителни цели, включително използването на свързаното с него оборудване, софтуер или устройства, когато такова използване би могло да повлияе на излагането на радиация;","(г) използване на радиация или радиоактивни материали за медицински, промишлени, ветеринарни, селскостопански, юридически цели или за целите на сигурността, включително използване на свързано оборудване, софтуер или устройства, когато това използване би могло да повлияе на радиационното облъчване;",1080,1130,dp
"(e) The use of radiation or radioactive material for education, training or research, including any activities relating to such use that involve or could involve exposure to radiation or exposure due to radioactive material;","д) използването на радиационен или радиоактивен материал за образование, обучение или научни изследвания, включително всякакви дейности, свързани с такова използване, които включват или могат да включват излагане на радиация или излагане на въздействието на радиоактивни материали;","д) използване на радиация или радиоактивни материали за цели на образованието, обучението или за научноизследователски цели, включително всякакви дейности, свързани с това използване, които включват или биха могли да включват облъчване в резултат на въздействие на радиация или облъчване, дължащо се на радиоактивен материал;",1081,1131,dp
